,name,price,score,winery,grapes,country,region,alcohol,foods,wine_id
0,Red Willow Vineyard Cabernet Sauvignon  2012,76.45,4.2,Owen Roe,Cabernet Sauvignon,United States,Yakima Valley,,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",11056957
1,Les Parcelles Rares les Varrons Pinot Noir  2018,100.0,4.3,Domaine Labet,Pinot Noir,France,Jura,,"['Veal', 'Pork', 'Game (deer, venison)', 'Rich fish (salmon, tuna etc)', 'Poultry']",24704290
2,Cabernet Sauvignon Caves  2017,78.95,4.5,Del Dotto,Cabernet Sauvignon,United States,Napa Valley,,"['Beef', 'Lamb', 'Game (deer, venison)', 'Mature and hard cheese', 'Poultry']",20701784
3,Sonoma Coast Pinot Noir  2011,122.0,4.6,Kosta Browne,Pinot Noir,United States,Sonoma Coast,14.4,"['Beef', 'Veal', 'Game (deer, venison)', 'Poultry']",11620653
4,Brunello di Montalcino (Casato Prime Donne)  2015,69.99,4.3,Donatella Cinelli Colombini,Sangiovese,Italy,Brunello di Montalcino,14,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",21207196
5,Costasera Amarone della Valpolicella Classico Riserva  2013,99.99,4.2,Masi,Molinara,Italy,Amarone della Valpolicella Classico,15.5,"['Beef', 'Lamb', 'Game (deer, venison)', 'Blue cheese']",23340102
6,Bourgogne Rouge  2018,79.99,4.3,Lucien le Moine,Pinot Noir,France,Bourgogne,,"['Beef', 'Veal', 'Game (deer, venison)', 'Poultry']",25371635
7,Serego Alighieri Vaio Armaron Amarone della Valpolicella Classico  2013,89.99,4.2,Masi,Corvina,Italy,Amarone della Valpolicella,15.5,"['Beef', 'Lamb', 'Game (deer, venison)', 'Blue cheese']",23949009
8,Côte-Rôtie  2016,79.95,4.2,Bernard Burgaud,Shiraz/Syrah,France,Côte-Rôtie,13,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",18328612
9,Brunello di Montalcino  2004,68.99,4.2,Tenuta CastelGiocondo,Sangiovese,Italy,Brunello di Montalcino,13.5,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",2990855
10,Saint-Émilion Grand Cru (Premier Grand Cru Classé)  2017,87.82,4.3,Château Pavie Macquin,Merlot,France,Saint-Émilion Grand Cru,14.5,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",25261742
11,Signature Cabernet Sauvignon  2015,95.0,4.5,J. Lohr Vineyards & Wines,Cabernet Sauvignon,United States,Paso Robles,14.5,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",26521646
12,Camí Pesseroles  2014,95.0,4.5,Martinet,Garnacha,Spain,Priorat,14.5,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",17642601
13,Serradenari Barolo  2017,84.99,4.2,Giulia Negri,Nebbiolo,Italy,Barolo,14,"['Beef', 'Pasta', 'Lamb', 'Game (deer, venison)']",26429955
