,name,price,score,winery,grapes,country,region,alcohol,foods,wine_id
0,Bergström Vineyard Pinot Noir  2017,114.99,4.3,Bergström,Pinot Noir,United States,Dundee Hills,13.5,"['Beef', 'Veal', 'Game (deer, venison)', 'Poultry']",23575910
1,Cannubi Barolo  2010,120.95,4.2,Marchesi di Barolo,Nebbiolo,Italy,Barolo,,"['Beef', 'Pasta', 'Lamb', 'Game (deer, venison)']",25233498
2,Bella Vigna Vineyard Pinot Noir  2012,95.0,4.2,Whetstone,Pinot Noir,United States,Sonoma Coast,,"['Beef', 'Veal', 'Game (deer, venison)', 'Poultry']",15864690
3,Cabernet Sauvignon Reserve  2016,99.99,4.4,Titus,Cabernet Sauvignon,United States,Napa Valley,14.9,"['Beef', 'Lamb', 'Game (deer, venison)', 'Mature and hard cheese', 'Poultry']",22955042
4,Domaine des Tourettes Hermitage Rouge  2013,69.99,4.3,Delas,Shiraz/Syrah,France,Hermitage,13.5,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",8673909
5,Cabernet Sauvignon  2015,74.99,4.2,Grassi,Cabernet Sauvignon,United States,Napa Valley,,"['Beef', 'Lamb', 'Game (deer, venison)', 'Mature and hard cheese', 'Poultry']",23018722
6,Godspeed Cabernet Sauvignon  2014,79.99,4.3,Sbragia,Cabernet Sauvignon,United States,Mount Veeder,15.3,"['Beef', 'Lamb', 'Game (deer, venison)', 'Mature and hard cheese', 'Poultry']",21306916
7,Napa Valley Cabernet Sauvignon  2008,79.99,4.4,Cornerstone Cellars,Cabernet Sauvignon,United States,Napa Valley,,"['Beef', 'Lamb', 'Game (deer, venison)', 'Mature and hard cheese', 'Poultry']",18645419
8,Cabernet Sauvignon  2016,199.0,4.6,Caymus,Cabernet Sauvignon,United States,Napa Valley,14.6,"['Beef', 'Lamb', 'Game (deer, venison)', 'Mature and hard cheese', 'Poultry']",24676998
9,Bradford Mountain Estate Vineyard Cabernet Sauvignon  2015,100.0,4.2,Peterson,Cabernet Sauvignon,United States,Dry Creek Valley,,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",24632536
10,Fracture  2014,99.99,4.4,Booker,Shiraz/Syrah,United States,Paso Robles,15,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",6928842
11,Barolo Conca  2017,79.99,4.2,Fratelli Revello,Nebbiolo,Italy,Barolo,,"['Beef', 'Pasta', 'Lamb', 'Game (deer, venison)']",25753788
12,Barolo Ciabot Mentin  2010,99.0,4.2,Domenico Clerico,Nebbiolo,Italy,Barolo,14.5,"['Beef', 'Pasta', 'Lamb', 'Game (deer, venison)']",22675294
13,Cabernet Sauvignon  2014,49.99,4.3,Adaptation,Cabernet Sauvignon,United States,Napa Valley,14.8,"['Beef', 'Lamb', 'Game (deer, venison)', 'Mature and hard cheese', 'Poultry']",20949484
14,Barolo  2016,95.98,4.4,Margherita Otto,Nebbiolo,Italy,Barolo,14.5,"['Beef', 'Pasta', 'Lamb', 'Game (deer, venison)']",22828329
15,Gaps Crown Vineyard Pinot Noir  2016,64.98,4.5,Guarachi,Pinot Noir,United States,Sonoma Coast,14.8,"['Beef', 'Veal', 'Game (deer, venison)', 'Poultry']",24415602
16,Brunello di Montalcino  2013,89.99,4.3,Conti Costanti,Sangiovese,Italy,Brunello di Montalcino,14,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",21062211
17,Quarter Moon Pinot Noir  2017,90.0,4.3,Joseph Phelps,Pinot Noir,United States,Sonoma Coast,,"['Beef', 'Veal', 'Game (deer, venison)', 'Poultry']",22315668
18,Cabernet Sauvignon  2013,79.99,4.4,Paradigm,Cabernet Sauvignon,United States,Oakville,15,"['Beef', 'Lamb', 'Game (deer, venison)', 'Mature and hard cheese', 'Poultry']",12842985
19,Cuvée Réservée Châteauneuf-du-Pape Rouge  2012,104.99,4.2,Pegau,Grenache,France,Châteauneuf-du-Pape,14,"['Lamb', 'Pork', 'Poultry']",10941544
20,Pessac-Léognan (Grand Cru Classé de Graves)  2012,119.99,4.3,Château Smith Haut-Lafitte,Cabernet Sauvignon,France,Pessac-Léognan,13,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",23640516
21,Quinta da Leda Douro  2015,74.99,4.4,Casa Ferreirinha,Touriga Nacional,Portugal,Douro,13.5,"['Beef', 'Pasta', 'Lamb', 'Game (deer, venison)']",18313363
22,Nuits-Saint-Georges  2016,99.99,4.2,Philippe et Vincent Lécheneaut,Pinot Noir,France,Nuits-Saint-Georges,12.5,"['Beef', 'Veal', 'Game (deer, venison)', 'Poultry']",24172702
23,Priorat  2006,102.95,4.3,Clos Mogador,Garnacha,Spain,Priorat,,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",5083661
24,La Barbarine Côte-Rôtie  2018,89.99,4.5,Domaine Yves Gangloff,Shiraz/Syrah,France,Côte-Rôtie,,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",25393266
25,The Factor  2004,99.99,4.4,Torbreck,Shiraz/Syrah,Australia,Barossa Valley,12,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",25740258
26,Brunello di Montalcino  2015,69.99,4.3,Collemattoni,Sangiovese,Italy,Brunello di Montalcino,14,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",21344724
27,Côte-Rôtie Ampodium  2018,93.95,4.2,Domaine Rostaing,Shiraz/Syrah,France,Côte-Rôtie,14.5,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",23228467
28,Jacob-Hart Vineyard Pinot Noir  2016,69.99,4.3,Rex Hill,Pinot Noir,United States,Willamette Valley,13.5,"['Beef', 'Veal', 'Game (deer, venison)', 'Poultry']",21605891
29,Vineyard Georges III Cabernet Sauvignon  2014,125.95,4.5,Sojourn,Cabernet Sauvignon,United States,Rutherford,14.7,"['Beef', 'Lamb', 'Game (deer, venison)', 'Mature and hard cheese', 'Poultry']",15206676
30,Red Blend  2007,85.0,4.4,Virage,Cabernet Franc,United States,Napa Valley,,"['Beef', 'Lamb', 'Veal', 'Poultry']",3891999
31,Cabernet Franc  2016,69.99,4.4,Peju,Cabernet Franc,United States,Napa Valley,14,"['Beef', 'Pork', 'Game (deer, venison)', 'Poultry']",21111757
32,Saint-Estèphe (Grand Cru Classé)  2017,224.99,4.3,Château Calon-Ségur,Cabernet Sauvignon,France,Saint-Estèphe,13,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",21317981
33,Tenuta Nuova Brunello di Montalcino  2005,84.99,4.2,Casanova di Neri,Sangiovese,Italy,Brunello di Montalcino,,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",13874667
34,Cabernet Sauvignon  2011,104.95,4.4,Hewitt,Cabernet Sauvignon,United States,Rutherford,,"['Beef', 'Lamb', 'Game (deer, venison)', 'Mature and hard cheese', 'Poultry']",3788310
35,Bricco della Bigotta Barbera d'Asti  2013,64.99,4.2,Braida,Barbera,Italy,Barbera d'Asti,14.5,"['Pasta', 'Veal', 'Pork', 'Game (deer, venison)', 'Poultry']",6441296
36,Giorgio Primo  2015,99.99,4.3,La Massa,Cabernet Sauvignon,Italy,Chianti Classico,15,"['Beef', 'Lamb', 'Veal', 'Poultry', 'Cured Meat']",25564719
37,Cabernet Sauvignon  2016,85.0,4.2,Silver Stag,Cabernet Sauvignon,United States,Napa Valley,,"['Beef', 'Lamb', 'Game (deer, venison)', 'Mature and hard cheese', 'Poultry']",17562315
38,Cabernet Sauvignon  2015,74.99,4.3,Aftermath,Cabernet Sauvignon,United States,Napa Valley,15,"['Beef', 'Lamb', 'Game (deer, venison)', 'Mature and hard cheese', 'Poultry']",19505470
39,Cuvée Réservée Châteauneuf-du-Pape Rouge  2017,74.95,4.3,Pegau,Grenache,France,Châteauneuf-du-Pape,15.5,"['Lamb', 'Pork', 'Poultry']",24283719
40,Cabernet Sauvignon  2008,74.99,4.2,ZD Wines,Cabernet Sauvignon,United States,Napa Valley,,"['Beef', 'Lamb', 'Game (deer, venison)', 'Mature and hard cheese', 'Poultry']",24392848
41,Vieilles Vignes Pommard  2018,79.99,4.3,Domaine Joseph Voillot,Pinot Noir,France,Pommard,13,"['Beef', 'Veal', 'Game (deer, venison)', 'Poultry']",21858423
42,Scherrer Vineyard Cabernet Sauvignon  2005,60.0,4.3,Scherrer,Cabernet Sauvignon,United States,Alexander Valley,,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",18433554
43,Lousas Parcela Camiño Novo  2019,65.0,4.2,Envínate,Mencia,Spain,Ribeira Sacra,12.5,"['Beef', 'Pasta', 'Veal', 'Poultry']",23890014
44,Silice Pinot Noir  2017,79.95,4.2,Bergström,Pinot Noir,United States,Chehalem Mountains,14.1,"['Beef', 'Veal', 'Game (deer, venison)', 'Poultry']",25752317
45,Pauillac (Grand Cru Classé)  2009,90.99,4.2,Château Haut-Batailley,Cabernet Sauvignon,France,Pauillac,13.5,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",23669582
46,Mailbox Vineyard Reserve Merlot  2016,69.99,4.4,Keenan,Merlot,United States,Spring Mountain District,14.3,"['Beef', 'Lamb', 'Veal']",23892044
47,Cabernet Sauvignon  2015,60.0,4.4,Obelisco Estate,Cabernet Sauvignon,United States,Red Mountain,,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",18873982
48,Bearwallow Vineyard Pinot Noir  2014,104.99,4.2,Rhys Vineyards,Pinot Noir,United States,Anderson Valley,,"['Beef', 'Veal', 'Game (deer, venison)', 'Poultry']",15614304
49,Pinot Noir  2008,39.99,4.3,Scherrer,Pinot Noir,United States,Sonoma County,,"['Beef', 'Veal', 'Game (deer, venison)', 'Poultry']",18216563
50,Abelard  2011,82.99,4.3,Chêne Bleu,Shiraz/Syrah,France,Vaucluse,,"['Beef', 'Lamb', 'Game (deer, venison)']",20612603
51,Kistler Vineyard Pinot Noir  2012,149.97,4.3,Kistler,Pinot Noir,United States,Sonoma Coast,,"['Beef', 'Veal', 'Game (deer, venison)', 'Poultry']",25483178
52,Châteauneuf-du-Pape  1993,159.99,4.2,Château de Beaucastel,Shiraz/Syrah,France,Châteauneuf-du-Pape,13.5,"['Lamb', 'Pork', 'Poultry']",20609050
53,Ca’ del Merlo Rosso Veneto  2013,98.0,4.3,Quintarelli Giuseppe,Molinara,Italy,Veneto,14,"['Beef', 'Pasta', 'Lamb', 'Game (deer, venison)']",25282482
54,Tenacious  2014,99.93,4.6,Celani Family Vineyards,Cabernet Franc,United States,Napa Valley,,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",13961525
55,Vieilles Vignes Chassagne-Montrachet  2017,73.98,4.6,Domaine Gabriel et Paul Jouard,Pinot Noir,France,Chassagne-Montrachet,,"['Beef', 'Veal', 'Game (deer, venison)', 'Poultry']",19333411
56,Cabernet Sauvignon  2013,51.99,4.3,Frank Family,Cabernet Sauvignon,United States,Napa Valley,14.5,"['Beef', 'Lamb', 'Game (deer, venison)', 'Mature and hard cheese', 'Poultry']",11979270
57,Barbaresco  2017,84.99,4.3,Pio Cesare,Nebbiolo,Italy,Barbaresco,14.5,"['Beef', 'Pasta', 'Lamb', 'Game (deer, venison)']",26471933
58,Les Larmes Pinot Noir  2016,84.0,4.4,Littorai,Pinot Noir,United States,Anderson Valley,12.9,"['Beef', 'Veal', 'Game (deer, venison)', 'Poultry']",13985436
59,Brunello di Montalcino  2015,80.99,4.4,Verbena,Sangiovese,Italy,Brunello di Montalcino,,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",21552218
60,C.C. Ranch Cabernet Sauvignon  2011,89.95,4.5,Nickel & Nickel,Cabernet Sauvignon,United States,Rutherford,,"['Beef', 'Lamb', 'Game (deer, venison)', 'Mature and hard cheese', 'Poultry']",2818854
